activity,time,intensity
Visit the Viking Ship Museum,60,3
Explore Vigeland Park,90,4
Walk along Karl Johans gate,60,2
Tour the Royal Palace,45,3
Visit the National Gallery,60,2
Take a fjord cruise,120,5
Visit the Fram Museum,60,3
Explore the Akershus Fortress,90,4
Visit the Oslo Opera House,45,2
Go to the Munch Museum,60,3
Explore the Botanical Gardens,90,3
Visit the Kon-Tiki Museum,60,3
Hike in Nordmarka,180,8
Visit the Holmenkollen Ski Museum,90,4
Swim at Sørenga Seawater Pool,60,5
Visit the Astrup Fearnley Museum,60,2
Bike around Bygdøy Peninsula,120,6
Picnic in Frogner Park,90,2
Take a boat to the Oslo Fjord Islands,180,4
Visit the Nobel Peace Center,60,2
Visit the Norwegian Museum of Cultural History,90,3
Take a guided tour of Oslo City Hall,45,2
Explore Grünerløkka district,120,4
Attend a concert at Oslo Spektrum,120,3
Visit the Ekebergparken Sculpture Park,90,4
Enjoy a show at the Norwegian National Opera & Ballet,180,3
Go skiing in Oslo Winter Park,180,7
Explore the Aker Brygge and Tjuvholmen area,90,3
Visit the Historical Museum,60,2
Take a food tour,120,3
Watch a movie at the Odeon Cinema,120,1
Visit the Popsenteret,60,2
Play mini golf at Oslo Camping,60,4
Walk through the Barcode Project,60,3
Shop at the Oslo City Shopping Center,90,2
Relax at the Oslo Sauna,60,1
Go to a football match at Ullevaal Stadium,120,4
Visit the International Museum of Children's Art,60,2
Attend a festival at the Oslo Spectrum,180,3
Explore the Sørenga area,90,3
Go kayaking in the Oslo Fjord,120,6
Visit the Emanuel Vigeland Museum,60,2
Hike to Vettakollen,120,6
Take a tour of the Storting Building,45,2
Explore the Mathallen Food Hall,90,2
Attend an outdoor cinema event,120,1
Visit the Intercultural Museum,60,2
Walk around the St. Hanshaugen Park,60,3
Go to a performance at the Det Norske Teatret,120,3
Explore the Oslo Reptile Park,60,3
Visit the Armed Forces Museum,60,2
Take a street art tour,90,4
Go to a rooftop bar,90,2
Visit the Jewish Museum in Oslo,60,2
Attend a poetry reading,60,1
Explore the Vulkan area,90,3
Visit the DogA - Norwegian Centre for Design and Architecture,60,2
Hike to the Grefsenkollen viewpoint,120,6
Go on a ghost walk,90,4
Visit the Norwegian Maritime Museum,60,2
